standard_id,designation,title,publisher,record_type,country_scope,primary_category,latest_known_edition,applicability,summary,official_url,source_download_url,notes
IEEE-C37-95-2026,IEEE C37.95-2026,IEEE Guide for Protective Relaying of Utility-Consumer Interconnections,IEEE,guide,International / North America,C37 switchgear and protection equipment - Relays Protection and Control,2026,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.95-2026.",https://standards.ieee.org/ieee/C37.95/10497,,IEEE SA page status: Active Standard. Published: 2026-08-21. IEEE record number: 10497.
IEEE-C37-98-2023,IEEE C37.98-2023,IEEE Standard for Seismic Qualification Testing of Protective Relays and Auxiliaries for Nuclear Facilities,IEEE,standard,International / North America,C37 switchgear and protection equipment - Relays Protection and Control,2023,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.98-2023.",https://standards.ieee.org/ieee/C37.98/10494,,IEEE SA page status: Active Standard. Published: 2023-09-08. IEEE record number: 10494.
IEEE-C37-100-1-2018,IEEE C37.100.1-2018,IEEE Standard of Common Requirements for High Voltage Power Switchgear Rated Above 1000 V,IEEE,standard,International / North America,C37 switchgear and protection equipment - Switchgear Assemblies,2018,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.100.1-2018.",https://standards.ieee.org/ieee/C37.100.1/7364,,IEEE SA page status: Active Standard. Published: 2019-02-08. IEEE record number: 7364.
IEEE-C37-100-2-2018,IEEE C37.100.2-2018,IEEE Standard for Common Requirements for Testing of AC Capacitive Current Switching Devices over 1000 V,IEEE,standard,International / North America,C37 switchgear and protection equipment - Testing Monitoring and Diagnostics,2018,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.100.2-2018.",https://standards.ieee.org/ieee/C37.100.2/4920,,IEEE SA page status: Active Standard. Published: 2018-05-18. IEEE record number: 4920.
IEEE-C37-100-5-2018,IEEE C37.100.5-2018,"IEEE Standard for Definitions of High-Voltage Circuit Breakers Above 1000 Vac and 3200 Vdc, and Reclosers and Other Distribution Equipment from 1000 Vac to 38 000 Vac",IEEE,standard,International / North America,C37 switchgear and protection equipment - Definitions Ratings and Reference,2018,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.100.5-2018.",https://standards.ieee.org/ieee/C37.100.5/6789,,IEEE SA page status: Active Standard. Published: 2018-04-06. IEEE record number: 6789.
IEEE-C37-100-6-2025,IEEE C37.100.6-2025,IEEE Approved Draft Guide for Determination of Test Specimens for Seismic Qualification for Building Code Applications,IEEE,guide,International / North America,C37 switchgear and protection equipment - Testing Monitoring and Diagnostics,2025,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.100.6-2025.",https://standards.ieee.org/ieee/C37.100.6/7494,,IEEE SA page status: Active Standard. Published: 2026-06-26. IEEE record number: 7494.
IEEE-C37-100-7-2023,IEEE C37.100.7-2023,IEEE Guide for the Evaluation of Performance Characteristics of Non-Sulfur Hexafluoride Insulation and Arc Quenching Media for Switchgear Rated Above 1000 V,IEEE,guide,International / North America,C37 switchgear and protection equipment - Switchgear Assemblies,2023,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.100.7-2023.",https://standards.ieee.org/ieee/C37.100.7/7400,,IEEE SA page status: Active Standard. Published: 2024-03-22. IEEE record number: 7400.
IEEE-C37-102-2023,IEEE C37.102-2023,IEEE Guide for AC Generator Protection,IEEE,guide,International / North America,C37 switchgear and protection equipment - Relays Protection and Control,2023,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.102-2023.",https://standards.ieee.org/ieee/C37.102/7035,,IEEE SA page status: Active Standard. Published: 2024-06-28. IEEE record number: 7035.
IEEE-C37-104-2022,IEEE C37.104-2022,IEEE Guide for Automatic Reclosing on AC Distribution and Transmission Lines,IEEE,guide,International / North America,C37 switchgear and protection equipment - General Switchgear and Protection Requirements,2022,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.104-2022.",https://standards.ieee.org/ieee/C37.104/7296,,IEEE SA page status: Active Standard. Published: 2022-04-28. IEEE record number: 7296.
IEEE-C37-105-2024,IEEE C37.105-2024,IEEE Standard for Qualifying Class 1E Protective Relays and Auxiliaries for Nuclear Power Generating Stations and Nuclear Facilities,IEEE,standard,International / North America,C37 switchgear and protection equipment - Relays Protection and Control,2024,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.105-2024.",https://standards.ieee.org/ieee/C37.105/10495,,IEEE SA page status: Active Standard. Published: 2025-01-08. IEEE record number: 10495.
